zipcode,price,bedrooms,near_college
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92154,2595,2,0
92154,1995,1,0
92154,2578,1,0
92154,2285,1,0
92154,3101,1,0
92154,2412,1,0
92154,2224,0,0
92154,2241,1,0
92154,3646,2,0
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92126,2465,0,1
92126,2580,1,1
92126,2450,1,1
92126,2549,1,1
92126,2295,1,1
92126,2079,0,1
92126,2209,1,1
92126,1995,1,1
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92105,1700,1,0
92105,1450,0,0
92105,1600,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92114,1995,1,0
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92115,2260,1,1
92115,2180,1,1
92115,2120,1,1
92115,2200,2,1
92115,1950,1,1
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92071,2885,2,0
92071,1895,1,0
92071,1900,1,0
92071,2195,2,0
92071,2301,1,0
92071,2785,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92027,1980,1,0
92027,1850,1,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
92130,2814,1,0
92130,3693,1,0
92130,3751,2,0
92130,3607,2,0
92130,3582,1,0
92130,4398,2,0
92130,3368,1,0
92130,2687,1,0
92130,2750,1,0
